Experiment	Paper	Pathogen	Classification	VOC	PubChem ID	Analytical Method	Sample origin															
153	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 5															
153	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 5															
154	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 6															
154	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 6															
155	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 7															
155	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 7															
156	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 8															
156	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 8															
157	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 9															
157	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 9															
158	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 10															
158	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 10															
159	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 11															
159	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 11															
160	7	Escherichia coli	Gram negative bacterium	1-decanol	8174	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	ethanol	702	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	indole	798	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	1-octanol	957	MCC-IMS analysis	clinical isolate 12															
160	7	Escherichia coli	Gram negative bacterium	1-octanol (dimer)	not available	MCC-IMS analysis	clinical isolate 12															
161	39	Escherichia coli	Gram negative bacterium	methanol	887	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	acetaldehyde	177	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	ethanol	702	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	methanethiol	878	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	acetone	180	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	acetic acid	176	PTR-MS analysis	DSMZ 30083															
161	39	Escherichia coli	Gram negative bacterium	indole	798	PTR-MS analysis	DSMZ 30083															
162	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 1															
163	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 2															
164	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 3															
165	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 4															
166	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 5															
167	44	Escherichia coli	Gram negative bacterium	dimethyl disulfide	12232	HS-GC analysis	clinical isolate 6															
168	44	Escherichia coli	Gram negative bacterium	1-propanol	1031	HS-GC analysis	clinical isolate 															
168	44	Escherichia coli	Gram negative bacterium	ethanol	702	HS-GC analysis	clinical isolate															
169	71	Helicobacter pylori	Gram negative bacterium	hydrogen cyanide	768	PTR-MS analysis	clinical sample															
169	71	Helicobacter pylori	Gram negative bacterium	hydrogen nitrate	944	PTR-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	dimethylether	8254	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	"2,3-butadiene"	not available	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	acetaldehyde	177	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	ethanol	702	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	isobutane	6360	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	acetonitrile	6342	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	n-butane	7843	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	acetone	180	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	2-propanol	3776	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	diethylether	3283	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	isoprene	6557	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	n-pentane	8003	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	2-methylfuran	10797	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	2-butanone	6569	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	ethyl acetate	8857	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	2-methylpentane	7892	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	3-methylpentane	7282	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	benzene	241	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	methylcyclopentane	7296	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	hexane	8058	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	toluene	1140	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	2-hexanone	11583	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	ethylbenzene	7500	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	p-xylene	7809	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	styrene	7501	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	benzaldehyde	240	SPME-GC-MS analysis	clinical sample															
170	21	Helicobacter pylori	Gram negative bacterium	nonane	8141	SPME-GC-MS analysis	clinical sample															
171	21	Helicobacter pylori	Gram negative bacterium	propane	6334	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	acetaldehyde	177	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	ethanol	702	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	methanethiol	878	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	(E)-2-butene	62695	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	isobutane	6360	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-methylpropene	8255	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	acetonitrile	6342	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	n-butane	7843	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	pentafluoroethane	9633	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	acetone	180	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	carbon disulfide	6348	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-propanol	3776	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	diethylether	3283	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	methyl acetate	6584	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	dichlorofluoroethane	15586	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-methylbutane	6556	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-pentene	12585	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	n-pentane	8003	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	cyclopentane	9253	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-methylpropanal	6561	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	trichloromethane	6212	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-butanone	6569	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	ethyl acetate	8857	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-methyl-1-pentene	12986	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	isobutanol	6560	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-methylpentane	7892	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	3-methylpentane	7282	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	benzene	241	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	methylcyclopentane	7296	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	hexane	8058	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	cyclohexane	8078	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	toluene	1140	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	mercaptoacetone	520144	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	3-methylbutanal	11552	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	2-ethoxy-2-methylpropane	12512	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	dimethyl disulfide	12232	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	1-pentanol	6276	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	4-methylpentane	not available	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	methylcyclohexane	7962	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	"tetrahydro-2,2,4,4-tetramethylfuran"	27010	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	ethylbenzene	7500	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	styrene	7501	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	"2,4-dimethyl-1-heptene"	123385	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	octane	356	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	"3,5-dimethyloctane"	139989	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	3-ethyloctane	79985	SPME-GC-MS analysis	clinical isolate															
171	21	Helicobacter pylori	Gram negative bacterium	decane	15600	SPME-GC-MS analysis	clinical isolate															
172	16	Legionella pneumophila	Gram negative bacterium	3-ethyl-6-pentamethyldisilyloxyoctane	590048	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	heptane	8900	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	S-[tri-t-butoxysilyl]-2-mercaptoethylamine	6058	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	methylcyclohexane	7962	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	4-fluorohistamine	541569	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	isopentanol	31260	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	"7-methyl-1,8-naphthyridin-2-amine"	594420	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	ethylpentamethyldisiloxane	20667832	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	"5-methylthieno[3,2-b]pyridine"	591057	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	"2,5-bis[(trimethylsilyl)oxy]-benzaldehyde"	622536	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	"1,2-bis(trimethylsilyl)benzene"	519794	GC-MS analysis	reference strain															
172	16	Legionella pneumophila	Gram negative bacterium	decamethyl tetrasiloxane	8852	GC-MS analysis	reference strain															
173	22	Clostridium difficile	Gram positive bacterium	methyl butyrate	12180	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methanol	887	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl propionate	11124	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl pentanoate	12206	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	caryophyllene	5322111	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	1-methyl-2-(1-methylethyl)-benzene	10812	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	propyl butyrate	7770	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	butyl butyrate	7983	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl hexanoate	7824	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	terpinene	7462	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	copaene	19725	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	n-butyl acetate	31272	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	isoamyl butyrate	7795	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	isobutyl butyrate	10885	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	butyl propionate	11529	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	ethyl cyclohexanecarboxylate	18686	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	"bicyclo [3,1,1] 6,6-dimethyl-2-methylene-heptane"	440967	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	terpinolene	11463	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl cyclohexanecarboxylate	20748	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	propyl isovalerate	11176	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	amyl acetate	12348	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	butyl pentanoate	61137	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	2-hexanone	11583	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	alfa-pinene	6654	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	cyclohexanecarboxylic acid	7413	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	6-methyl-5-hepten-2-one	9862	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl 2-methylbutyrate	13357	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl isobutyrate	11039	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	2-butanol	6568	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	isobutyl propionate	10895	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	"3,7- dimethyl-2-aminobenzoate 1,6-octadien-3-ol"	23535	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	5-methyl-2-(1-methylethyl)-cyclohexanol	1254	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	alfa-myrcene	519324	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	butyl cyclohexanecarboxylate	81040	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	terpinene	7462	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl salicylate	4133	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl heptanoate	7826	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl isovalerate	11160	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	2-methylbutyl 2-methylbutyrate	17129	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	5-methyl-2-(1-methylethyl)-cyclohexanone	6986	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	isopropyl butyrate	61184	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	isobutyl pentanoate	66356	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	methyl allyl disulfide	62434	SPME and GC-MS analysis	clinical sample															
173	22	Clostridium difficile	Gram positive bacterium	hexyl propionate	88454	SPME and GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	6-methyl-5-hepten-2-one	9862	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	acetaldehyde	177	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	acetic acid	176	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	butanoic acid	264	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-methylbutanoic acid	8314	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	carbon disulfide	6348	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	dimethyl sulfide	1068	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	dimethyl disulfide	12232	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	pentanoic acid	7991	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	3-methylfuran	13587	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	propanoic acid	1032	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	3-methylbutanoic acid	10430	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	dimethyl trisulfide	19310	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	hexanoic acid	8892	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	limonene	22311	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	methanethiol	878	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	propanal	527	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	methyl acetate	6584	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	butanal	261	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	ethanol	702	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	1-pentanol	6276	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-methylbutanal	7284	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-hexanone	11583	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-phenylacetaldehyde	998	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	methyl butyrate	12180	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	ethyl acetate	8857	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	methyl propionate	11124	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-methylpropanoic acid	6590	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	3-methyl-1H-indole	6736	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	ethyl butanoate	7762	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	methyl isobutyl ketone	7909	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	1-propanol	1031	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	2-acetylfuran	14505	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	styrene	7501	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	toluene	1140	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	pentanal	8063	SPME-GC-MS analysis	clinical sample															
174	23	Clostridium difficile	Gram positive bacterium	n-butyl acetate	31272	SPME-GC-MS analysis	clinical sample															
